SemanticField,concept,exclude,ExclusionCriteria
Spatial relations,CIRCLE,,
Spatial relations,BELOW OR UNDER,X,multiple words
Spatial relations,BELOW,,
Spatial relations,UNDER,X,temporal
Spatial relations,MEASURE,X,temporal
Spatial relations,SIMILAR,X,other prominent meaning
Spatial relations,PILE UP,X,multiple words
Spatial relations,UP,,
Spatial relations,DEEP,,
Spatial relations,SOUTH,,
Spatial relations,NORTH,,
Spatial relations,INSIDE,,
Spatial relations,FLAT,,
Spatial relations,SHORT,X,temporal
Spatial relations,INSTEAD,X,other prominent meaning
Spatial relations,HOLE,,
Spatial relations,AFTER,X,temporal
Spatial relations,BEHIND,X,temporal
Spatial relations,ABOVE,,
Spatial relations,JOIN,X,other prominent meaning
Spatial relations,TOP,,
Spatial relations,RESEMBLE,X,other prominent meaning
Spatial relations,BESIDE,,
Spatial relations,WEST,,
Spatial relations,BALL,X,other prominent meaning
Spatial relations,EAST,,
Spatial relations,IN FRONT OF,X,multiple words
Spatial relations,NEAR,X,temporal
Spatial relations,DOWN OR BELOW,X,multiple words
Spatial relations,LONG OR TALL,X,multiple words
Spatial relations,COARSE,,
Spatial relations,FINE OR THIN,X,multiple words
Spatial relations,LOW (HEIGHT),X,duplicate
Spatial relations,FRONT (PART),X,duplicate
Spatial relations,LOWER PART,X,multiple words
Spatial relations,LEDGE,,
Spatial relations,PEAK,,
Spatial relations,DENSE,,
Spatial relations,THIN (OF SHAPE OF OBJECT),X,duplicate
Spatial relations,LEAF (LEAFLIKE OBJECT),X,other prominent meaning
Spatial relations,IDENTICAL,X,other prominent meaning
Spatial relations,WHOLE,,
Spatial relations,CIRCULAR (ROUND IN TWO DIMENSIONS),,
Spatial relations,SPHERICAL (ROUND IN THREE DIMENSIONS),,
Spatial relations,THIN (OF HAIR AND THREAD),X,duplicate
Spatial relations,THIN (OF LEAF AND CLOTH),X,duplicate
Spatial relations,THIN (OF HAIR AND LEAF),X,duplicate
Spatial relations,THIN,,
Spatial relations,BACK (PART),X,temporal
Spatial relations,VERTICAL,,
Spatial relations,HORIZONTAL,,
Spatial relations,UP OR ABOVE,X,duplicate
Spatial relations,TOGETHER,,
Spatial relations,SMALL (NOT TALL),X,duplicate
Spatial relations,HIDE (ONESELF),X,duplicate
Spatial relations,HIDE,,
Spatial relations,SIZE,,
Spatial relations,SIZE (OF PERSON),X,duplicate
Spatial relations,BROAD,,
Spatial relations,DEPTH,,
Spatial relations,ALTITUDE,,
Spatial relations,BREADTH,,
Spatial relations,LENGTH,X,temporal
Spatial relations,BROAD OR WIDE,X,duplicate
Spatial relations,ACROSS,,
Spatial relations,STEEP,,
Spatial relations,TOWARDS,X,temporal
Spatial relations,ANGULAR (SQUAREFORMED),,
Spatial relations,HIGH OR TALL,X,duplicate
Spatial relations,SIZE (OF OBJECT),X,duplicate
Spatial relations,CHANGE (SOMETHING),X,"duplicate, temporal"
Spatial relations,CHANGE (BECOME DIFFERENT),X,"duplicate, temporal"
Spatial relations,STREAM (FLOW CONTINUOUSLY),,
Spatial relations,BACK (DIRECTION),X,"duplicate, temporal"
Spatial relations,BACKWARD,X,temporal
Spatial relations,FORWARD,X,temporal
Spatial relations,NEXT TO,X,multiple words
Spatial relations,THITHER (THERE TO),,
Spatial relations,HITHER (HERE TO),,
Spatial relations,FROM HERE,X,multiple words
Spatial relations,WHITHER (WHERE TO),,
Spatial relations,GAP (DISTANCE),X,temporal
Spatial relations,DISTANCE,X,temporal
Spatial relations,HEIGHT,,
Spatial relations,FRINGE,,
Spatial relations,TIP (OF OBJECT),,
Spatial relations,SUPPORT (OF OBJECT),,
Spatial relations,EVERYWHERE,,
Spatial relations,SPACE (AVAILABLE),,
Spatial relations,SLANTED,,
Spatial relations,BE LEFT,X,multiple words
Spatial relations,CENTER OR MIDDLE,X,multiple words
Spatial relations,POINT (POINTED END),X,temporal
Spatial relations,ATOP OR UP,X,duplicate
Spatial relations,TALL (PERSON),X,duplicate
Spatial relations,HIGH OR UP,X,multiple words
Spatial relations,LOW (POSITION OR HEIGHT),X,duplicate
Spatial relations,OVER HERE,X,multiple words
Spatial relations,OVER THERE,X,multiple words
Spatial relations,DIRECTION,,
Spatial relations,TAKE OUT,X,multiple words
Spatial relations,LENGTHEN,X,temporal
Spatial relations,HOLLOW,,
Spatial relations,NEAR (IN SPACE),X,"duplicate, temporal"
