"","Token_ID","Year","Corpora","Source","Context","Code","tokenType"
"18",18,2003,"MAG","NatGeog","  stuffed into a day pack. The summons to him and White had come on short notice, and the rushed distraction of solving the computer-compatibility problem had left him little","O","short"
"19",19,2009,"SPOK","ABC_20/20",", more improvement. Already, I feel more confident. DEBORAH-ROBERTS-1# (Off-camera) In this short time, you're feeling more confident? CHANDRA-BERNS-1BU# Oh, yeah. DEBORAH-ROBERTS-1# (Voiceover)","T","short"
"20",20,1992,"FIC","Bk:House1000Corpses","  nod of agreement, Sam flicked the switch of the telegraph three times, a short pause, then three more. Stone's face lit up with a broad smile","T","short"
"21",21,1994,"MAG","WashMonth","  who, with or without JOBS, would have left the dole after a relatively short period. It's the hard-core cases who are at the heart of America's","T","short"
"22",22,2004,"MAG","USCatholic","  But while there are pasties-a-plenty in this rural former mining town, priests are in short supply. At times Schmelzle has called seven different priests before securing a prsider for","O","short"
"23",23,2014,"FIC","AntiochRev","  . He'd arrived on the isthmus after the earthquake struck -- in Yucatn. Short wave radio reported a million homeless over the border in Guatemala, the crumbling of","F","short"
"24",24,1993,"FIC","BkSF:ShiningOnes","  We have to go to Sarsos, "" Sephrenia said to Sparhawk and Vanion a short while later when the three of them were alone. "" I have to talk","T","short"
"25",25,2006,"MAG","AmerArtist","  in their paintings, he said, "" A flat, painted image is nothing short of a miracle. So it must have seemed to the first artists in the","O","short"
"26",26,2015,"FIC","FantasySciFi","  eat anything right now. He padded across the blue-carpeted living room, down the short entry hallway to the outer door of the apartment, and bent to pick up","S","short"
"27",27,2014,"SPOK","PBS: PBS Newshour","us and has now produced a documentary titled "" Rebirth. "" Here's a short clip that takes us back to early days for the charter movement in 2005. JOHN-MERROW#","T","short"
"28",28,2016,"FIC","Bk:BornWar","  stream to the north and to the Fourth Lake, and then, only a short distance beyond, it crossed an opening. Omar had been here before. He","S","short"
"29",29,2004,"SPOK","NPR_Science","  in a spaceship? Stay with us. We'll be right back after this short break. I'm Ira Flatow, and this is TALK OF THE NATION/SCIENCE FRIDAY","T","short"
"30",30,2014,"MAG","PopScience","Care in Los Angeles. "" That' s equivalent to weighing 750 pounds. Short of a few anomalies, you don' t see people survive past that. ""","O","short"
"31",31,2002,"FIC","Yankee","  . Two apple crates for chairs sat by the stove. On one was a short club my grandfather called St. Peter, why I didn't know. On the","S","short"
"32",32,2017,"SPOK","Fox: First 100 Days","  . Plus, President Obama going out on a controversial note, cutting the sentence short of a known terrorist. We will tell you more about that move and if","O","short"
"33",33,2015,"MAG","Newsweek","  Moving from the east to the western side of the city once took only a short bus ride. Now it involves navigating a labyrinth of side roads and as many","B","short"
"34",34,2002,"FIC","Bk:TeaTerrorists","  was as if he were walking on eggs. He was clean shaven, with short, dark hair. His dress was a cross between military and business casual.","S","short"
"35",35,2011,"MAG","PopMech","  in the same manner. Next, build up the top's front edges using short pieces of pine blocking. Crosscut the pine pieces and place them carefully so that","S","short"
"36",36,1996,"FIC","Iris","  's just something I've got to do, is all. "" # The short, plump technician leads Marea into what looks like a powder room. Everything is","S","short"
"37",37,1996,"FIC","BilingualRev","  read BROWN PRIDE across his back and it didn't even matter that he was short and John said that he was ugly and the way he called her mi hija","S","short"
"38",38,2002,"FIC","SouthwestRev","  came upon the groundswell covered by vines, stumbled over it, and faced the short ledge where I teetered above the broken moss covered boards. # The hole was","S","short"
"39",39,2012,"MAG","WashMonth","  'll find them. "" # They look alike, I told him, both short and stout. Lived in Europe, ran a restaurant, came back for the","S","short"
"40",40,2009,"MAG","OutdoorLife","  him up or, better yet, put him in the house. Dogs have short memories, and besides that they don't expect you to be outside in the","T","short"
"41",41,2004,"FIC","MassachRev","  I woke up when Maggie parked the car. She didn't speak during the short walk to the beach, but took my hand as we climbed down to the","B","short"
"42",42,1990,"FIC","KenyonRev","  good suit. For months he felt sure that someone was following him: a short, heavyset, knish-faced woman he began to notice out the corner of his eye","S","short"
"43",43,1996,"SPOK","CBS_Special","  this suspicious package and started evacuating the area. He had just a -- a short few minutes of time to try to get people out before the bomb went off","T","short"
"44",44,2009,"MAG","ConsumRep","  to provide abundant head, leg, foot, and knee room. Tall and short drivers should be able to find a comfortable position. The GLS's steering wheel","S","short"
"45",45,1997,"SPOK","CNN_Talkback","  . Well, say you commit a crime and you get a short, relatively short prison sentence. But once you are behind bars in prison, other prisoners rape","T","short"
"46",46,2016,"MAG","Gizmodo","  , Freeform -- and they tell us when they would like it. So the short answer is: Sure, if someone wants to call and say,' We","B","short"
"47",47,1994,"MAG","SportsIll","  "" If anyone has a read on this sharp-shooting enigma who's just an inch short of seven feet, it is the beleaguered Timberwolf coach, who as of Sunday","S","short"
"48",48,2001,"MAG","WashMonth","  , it is unquestionably true that trial attorneys perform an invaluable service to society. Short of a world in which corporations and professionals operate responsibly without oversight, a democracy","O","short"
"49",49,1997,"FIC","Bk:WeMulvaneys","  , trying to get a locker open; a very pale teenaged boy, with short, spiky hair and spindly limbs, nodding off against a rear wall; two","S","short"
"50",50,2003,"FIC","FantasySciFi","  aunt was checking her reflection in the glass storm door; she had on a short, short skirt with flowers on it and plastic and silver lilies drooping from each","S","short"
"51",51,1997,"SPOK","NBC_Dateline","  I want to kiss this other child. "" And I was always coming up short, judging myself, not doing this right. LARSON: And the adoptive daughters","O","short"
"52",52,2004,"SPOK","NPR_Morning","  the Middle East would help, though neither seems likely in the near term. Short of that, the US will have to rely on stepped-up production from the only","O","short"
"53",53,2010,"SPOK","CNN_News","  tried to live with all my life. And don't ever sell this country short in its ability to get on top of its problems. KING: As a","O","short"
"54",54,2006,"SPOK","NPR_ATC","  mean, this is a war zone. And you don't recover in a short period of time. SIEGEL: But there is a huge gap between the future","T","short"
"55",55,1999,"SPOK","PBS_Newshour","  kind of new phase that seems to involve high-tech and information-based technology. Work is short term. People are working - about a third of the work force is working","T","short"
"56",56,1993,"MAG","ChildrenToday","  communities and the world. Their physical health was poor and their attention spans were short. # However, these teen mothers did manifest some very positive characteristics. They","T","short"
"57",57,1992,"MAG","Americas","  with recurring themes and variations. It was his hope that people would read each short descriptive passage "" like singing to one another, "" then pause and share their","B*","short"
"58",58,1994,"FIC","Bk:FistGod","  different from the Prime Minister in every way: tall where the national leader was short, well-tailored where Shamir was rumpled, urbane where he was choleric. Yet they","S","short"
"59",59,2003,"MAG","Skiing",": 115/78/105 6 K2 AXIS XT $750 The 68 mm-waisted XT is ideal for cranking short turns, but thanks to a metal laminate and K2's Monic vibration damping module","B","short"
"60",60,2001,"MAG","NaturalHist","  evolved over and over again. Burrowers tend to be small and to have relatively short tails and long trunks. (The trunk is the body length minus head and","S","short"
"61",61,1993,"SPOK","ABC_Nightline","  a wonderful validation of the imagination KOPPEL We're going to have to take a short break. When we come back, I'd like you both to think about","T","short"
"62",62,1992,"MAG","MotherEarth","  supported at bottom by metal angles or plywood cleats. Hold balusters in place with short wooden spacers in the grooves or finishing nails driven through sides of the rails.","S","short"
"63",63,2014,"FIC","Bk:FourFriends","  of her rope, "" Sonja said gravely. # Gerri's response was a short burst of laughter. "" Ya think? "" she asked. # "" Should","T","short"
"64",64,2006,"FIC","BkJuv:Idolon","9:46. Fourteen minutes until his appointment. He'd gotten the message yesterday. Short notice, and a couple of weeks sooner than expected. Usually, he went","T","short"
"65",65,1991,"SPOK","CNN_Novak","  , with a comment after these messages. Commercial break NOVAK: Rowlie, how short is a short war? Richard Perle says it could be between six days and","T","short"
"66",66,1992,"MAG","OutdoorLife","  this, Owner Hooks have a unique triple-edge cutting point. The tip is a short needle, and there are two cutting edges along the sides. On the bottom","S","short"
"67",67,2008,"FIC","SouthwestRev","  Anthony's words, "" an envious fuck, who's only got one out-of-print short story collection to his name for all his years of literary insider status, ""","F","short"
"68",68,2014,"SPOK","Fox: Sunday Morning Futures","  So let me kick it off with the economy. You reported earnings just a short while ago, and talked about the rest of the year, taking your expectations","T","short"
"69",69,1996,"MAG","Newsweek","  of investigating, prosecuting and deterring this violent crime. # A BERDEEN, IN SHORT, IS POTENtially far more serious than Taft-hook ever was., Tailhook rightly outraged","T","short"
"70",70,1998,"SPOK","ABC_Nightline","  I know you want to get in here. We're going to take a short break and I've got a question I want to ask you when we come","T","short"
"71",71,2000,"SPOK","NPR_TalkNation","  OF THE NATION. I'm Juan Williams. We're gon na take a short break right now. When we return, we'll continue talking about the intense","T","short"
"72",72,1996,"FIC","Bk:DeepEndOcean","  Cappadora command center in the second-floor conference room (everyone waved), up the short flight, turn, into Candy's office. Candy. Why, Beth wondered","B","short"
"73",73,2009,"SPOK","NPR_TalkNation","  I think that they view an opportunity to make money, again particularly in the short term and to offload some of their risk, that they'll chase that.","T","short"
"74",74,2002,"FIC","Ploughshares","  is how, by the way, I picture your excellent narrator: a little short, perhaps, a little fat, but undeniably elegant as he strolls along the","S","short"
"75",75,2014,"SPOK","PBS: PBS Newshour","  Times reporter Sabrina Tavernise, who is in Donetsk. I spoke to her a short while ago via Skype. Sabrina, thank you for talking with us. First","T","short"
"76",76,2011,"FIC","Bk:KingsVice","  much to do today before securing a place to lay his head and enjoying a short dog of real whiskey. # Casey wiped his mouth and chin with a napkin","S","short"
"77",77,2006,"FIC","Bk:KillerDeal","  "" I insisted. "" Like you'd ever let Eileen put you on that short a leash, "" Cassady snarked. "" Molly Forrester, you're holding out","O","short"
"78",78,2007,"FIC","VirginiaQRev","  in the Forest. "" The new arrivals always want to achieve, in a short while, what has taken time and effort for the rest of us, ""","T","short"
"79",79,1998,"FIC","WorldLitToday","  waiting for them. Years after the incident, in the twilight hours of the short winter days, the shepherds would sit with their families in their narrow stone huts","T","short"
"80",80,1992,"FIC","Bk:Hideaway","  procedure, when seconds counted and there was too much to be done in too short a time, Jonas never dared to think about the central ethical dilemma facing any","T","short"
"81",81,2009,"MAG","Fortune","  incentives of the money-management business. The stock market "" is terribly noisy in the short run, "" says Rappaport. As a result, it's largely useless as","T","short"
"82",82,2015,"SPOK","NPR: Fresh Air","  're going to feel some sort of strain. If you do that for a short period of time, I don't think there's a problem, but if","T","short"
"83",83,2003,"MAG","Parenting","  multitude of his gifts, "" says Liz Brous, a mom of two in Short Hills, New Jersey. "" He felt an obligation to enumerate them, so","F","short"
"84",84,2001,"MAG","TownCountry","  E BR I D E WORE: An off-white silk chiffon fitted gown with a short train, designed by Richard Tyler. THE HONEYMOON: "" We still haven't","S","short"
"85",85,1997,"FIC","Bk:SoonerSpy","  soap. Nita was first. She was bright and sweet, as well as short, red-headed, jumpy nervous and about twenty-seven years old. The president of OSSC","S","short"
"86",86,2006,"SPOK","CNN_Situation","  are still talking about possible draw-downs later this year, but they say in the short term, small numbers of additional troops will be sent to Iraq to provide extra","T","short"
"87",87,1999,"MAG","PCWorld","  modem as the manual implies. That's when you appreciate long support hours and short wait times before getting through to a technician. Unfortunately, that isn't always","T","short"
"88",88,2017,"MAG","Daily Beast","  related to law-enforcement community relations and education, ESPN reported. The tentative agreement stops short of directly addressing players' on-field demonstrations during the playing of the national anthem,","O","short"
"89",89,2006,"MAG","Bazaar","  trouble sleeping when the moon is full. And he travels constantly, mostly on short trips, like his sprint to Japan over the New Year. "" I travel","B","short"
"90",90,2001,"MAG","Bicycling","  The frame design is outstanding, but the stock Expert hydraulic disc brakes come up short in both outright power and modulation. This bike is one of three in Cannondale","O","short"
"91",91,1992,"MAG","Horticulture","  This vigorous twiner makes an excellent screen and will cover a trellis or porch in short order. Content in sun or part shade, golden hops do well in any","T","short"
"92",92,2009,"FIC","Bk:TemptedAllNight","  That's because it was yesterday, "" Agnes muttered behind her. # In short order, Lord Blaine had tucked his bride back into their carriage, and secured","T","short"
"93",93,2002,"FIC","Bk:Redemption","  . And it was since that realization that the voice of guilt had been nothing short of relentless. Repent.... The thief comes only to steal and kill and destroy","O","short"
"94",94,2004,"FIC","Bk:UrsulaUnder","  hundred feet down an untraveled dirt track into the forest, a glade carpeted by short grass kept low by odd gravel-shot soil, Ursula is crouched on her haunches examining","S","short"
"95",95,2004,"FIC","KenyonRev","  it's in her own walls and she's on her feet, down the short hall, past the row of Cedric's school pictures, past the State Farm","S","short"
"96",96,2013,"SPOK","CNN: CNN Breaking News","  , our initial numbers were coming from Massachusetts General Hospital, which is just a short distance from the main site. But one of the good things here -- let","S","short"
"97",97,2017,"SPOK","CNN: Anderson Cooper","  there. Look, Jake, there's no doubt but it, they were short of the votes, they have been short of the votes, and there is","O","short"
"98",98,2011,"FIC","SouthernRev","  for years, so it wouldn't hurt later. "" Milka laughed, a short, abrupt chortle, then said, "" Don't you fucking tell anyone.","T","short"
"99",99,2011,"MAG","HarpersBazaar","  , the author of Gentlemen Prefer Blondes, which actually started as a series of short stories in Bazaar. Ert covers, this page, clockwise from top left:","T","short"
"100",100,2017,"FIC","Bk:StrippedBare","  on my arm and pulled me up the stairs. # I resisted, but short of throwing a punch, I couldn't escape. To the right of the","O","short"
"101",101,2016,"FIC","Bk:ApprenticeToElves","  only human - clumsy, awkward, too tall and yet with her arms stupidly short - among the svartalfar, but Master Tin and the other smiths would have been","S","short"
"102",102,1991,"FIC","BkSF:BringingOut","  the jokes and the entertainment and the loving? Some feeling which had been cut short now by the heat of the fire, as if it had never existed.","O","short"
"103",103,2004,"FIC","Analog","  I'm sorry. "" Nyssa returned the puppy to its mother and made the short walk to the schoolhouse. She shuffled along, staring at her feet as she","B","short"
"104",104,2000,"FIC","Bk:Timbuktu","  the other. Each was all-important to him, and since time had grown too short to think of tackling them separately, he had come up with what he referred","T","short"
"105",105,2001,"SPOK","CNN_YourHealth","  averaging just under eight hours of sleep during the eight-night study. Thirteen were chronic short sleepers, getting less than five and a half-hours of sleep. On the final","T","short"
"106",106,1992,"FIC","SouthernRev","  voice -- nothing wrong with the reception -- didn't sound right. She seemed short, maybe bitter. I couldn't get to it. # "" Look,","O","short"
"107",107,2001,"FIC","Tikkun","  the lilies of the field. "" # The philosopher Martin Buber, in his short but dense book, I-Thou, wrote that when we have a relationship with someone","T","short"
"108",108,2008,"FIC","Bk:Darkness","  was. Her girl, Inez, was right behind him, too, her short self toting a handheld Uzi. Damali groaned inwardly and then turned away from Carlos","S","short"
"109",109,2010,"FIC","RecContempFic","  head to toe (in my imagination); and yet I was colorless, short, skinny as a rail, so that the only aspect of humanity I had","S","short"
"110",110,1993,"MAG","AmHeritage","  the direct control of the man at the center in the Oval Office. # Short conversations and long hours substituted for Ike's inflexible organization. The best way to","T","short"
"111",111,2016,"MAG","Hollywood Reporter","a global cume of $274.8 million. # Fellow best picture Oscar contender The Big Short crossed the $100 million mark at the worldwide box office over the weekend, finishing","F","short"
"112",112,2007,"FIC","AntiochRev","  "" which to Bradley was both pretentious and meaningless. At the end of a short hallway, a tall blond in a red sweater stood like a sentry. ""","S","short"
"113",113,1992,"FIC","BkSF:Legacy","  weapon and Vierna struck, but Drizzt had expected as much and he fell back short of his dropped scimitar, leaving Twinkle just out of reach. The drider scrambled","S","short"
"114",114,2007,"MAG","TIME","the fashion worlds, the hemline theory has proved correct at times. Hemlines were short in the Roaring Twenties but fell before the 1929 stock-market crash. In the'","S","short"
"115",115,2008,"FIC","Bk:GoodLuck","  I liked the look of her immediately. She was wiry and small, with short strawberry-blond hair and an impish, freckled face. We were instant friends in the","S","short"
"116",116,2011,"MAG","NatGeog","some in the wild are believed to be 150 years old or more. "" Short of predation or other fatal accidents, "" one reference book states, "" anemones","O","short"
"117",117,2015,"FIC","Bk:BonesWillSpeak","  made her gasp and squeeze her eyes shut, pinching out rare tears. Wheezing short puffs of air, she waited until she could catch her breath. Another drop","T","short"
"118",118,2007,"SPOK","PBS_Newshour","  about getting the equipment. Many of them say theyre short of rifles, theyre short of mortars, theyre short of a lot of things, equipment, up-armored Humvees","O","short"
"119",119,2015,"MAG","SatEvenPost","  the brilliant and beautiful ex-wife of her fianc, John. # BIO: First short story published by national consumer publication. #","T","short"
"120",120,2010,"SPOK","Fox_Beck","to abolish it. BECK: How did it gain so much power in that short period of time? EDWARDS: Well, the funding started in 1965 when it","T","short"
"121",121,1999,"FIC","Scholastic","1993. A version of this play was first printed in Famous Americans: 22 Short Plays for the Classroom (Scholastic, 1994). To order, call 1-800-Scholastic","T","short"
"122",122,2014,"FIC","Bk:BloodIron","  his way. Both wore their hair cropped down to the scalp, leaving a short mat of black fuzz. They wore simple smocks and skirts, but each man","S","short"
"123",123,2006,"FIC","KenyonRev","  know her? "" # Let me count the ways. We'd had a short intense trip together, her idea, as I recalled; it was not long","T","short"
"124",124,1997,"FIC","HarpersMag","  and wanted to know if I still needed a landscaper. I was one man short, and the crew didn't like it because they were on summer vacation from","O","short"
"125",125,2005,"SPOK","NPR_Morning","  It was a measured response, but once you have more than one event in short succession, it does start to change the way in which people think -- people","T","short"
"126",126,1994,"MAG","TIME","Dating Your Mom (1986), collected a decade's worth of his hilarious short humor pieces, most of which first appeared in the New Yorker. Then came","T","short"
"127",127,1998,"FIC","SouthwestRev","  Nora's perfume clung to what was left of the warm air. Over the short wave radio, his brother's voice called his name. Jean lay down across","O","short"
"128",128,2017,"FIC","Analog","  will be the last and best thing I can do with the rest of my short life and the first and best thing you can do with your long one,","T","short"
"129",129,2014,"FIC","QuadrantMagazine","clock on top of the Siemens building. He has a twenty-year-old son from a short relationship he had in 2013 with a woman called Sally Breen. She called him","T","short"
"130",130,1992,"MAG","PopScience","in 1991. And it is not just in contemporary international comparisons that we fall short, but also in comparison with what earlier American students knew at the same age","O","short"
"131",131,1990,"FIC","Bk:PlainsPassage","  and will only need a few long shafts. We can carry a lot more short shafts with points than long full spears, and if we lose one, it","S","short"
"132",132,2000,"MAG","USAToday","  number of directions to explore. A vast amount of attractions were within a relatively short driving distance, including Torquay, the seaside resort made famous by the riotous television","S","short"
"133",133,2010,"FIC","Bk:SwimmingPool","  faint outlines of muscle in his shoulders, his calves. But then he stopped short, and she turned to see an inflatable ball, colored like a globe,","O","short"
"134",134,1990,"MAG","Newsweek","  were accused of sedition or treason or other political crimes. The Nazis, in short, understood what the church means by martyrdom and were not interested in playing the","T","short"
"135",135,2010,"FIC","Analog","  body pressed against him so the bloodstream wouldn't sweep her away. But his short arms still couldn't reach the medpack. "" Use your snout, "" Carrie","S","short"
"136",136,2010,"SPOK","CBS_Sixty","  . It -- JULIE-TAYMOR: Yeah. You know, its just that -- its short. BONO-: Yeah. JULIE-TAYMOR: I feel like you could expand on that","U","short"
"137",137,1997,"FIC","LiteraryRev","  . But he had forgotten that he had twice before seen the woman with the short black hair and the large grey coat, who was watching Max's every move","S","short"
"138",138,1995,"FIC","SouthwestRev","  Many people get poodles if they're allergic to other breeds. It's the short hair. It doesn't have many allergens. "" # Seth looked at her","S","short"
"139",139,1990,"MAG","NatlReview","  of The Coming Defeat of Communism: that Communism would be defeated in a surprisingly short time if his advice was followed, but not otherwise. And his advice had","T","short"
"140",140,2015,"SPOK","ABC: The View","  I'm not surprised that he, it's a lot to learn in a short amount of time. Can you imagine how much his advisors must hate him if","T","short"
"141",141,1994,"FIC","MassachRev","  an organization supported by a combination of state and private contributions. He is a short ebulliently impatient man of forty-six who declares himself to be the youngest Jew in Cracow","S","short"
"142",142,2015,"MAG","PopMech","  of the runway. One landing in particular, I found myself wildly, dramatically short so short I was on course to crash long before the runway began. # ""","U","short"
"143",143,1997,"MAG","SkyTelescope","  seen in some images. Special chips and observing strategies such as combining multiple, short exposures can help suppress blooming. Ted Wolfe of Naples, Florida, obtained this","O","short"
"144",144,2013,"MAG","MotherJones","cutting and Obamacare bashing, Rick Scott did not end up on the vice presidential short list. Nor is he considered a presidential contender in 2016. Instead he has","O","short"
"145",145,1993,"MAG","People","frequently both on and off the court. Ashe, whose competitive career was cut short following a heart attack in 1979, was a veteran of adversity. "" Living","T","short"
"146",146,2013,"MAG","AmSpect",", say, or the first three volumes of the Pliade Voltaire. In just short of 3,000 pages, I've come across the word "" f-- "" and its","S","short"
"147",147,2008,"MAG","MotherEarth","  . Artichokes or eggplant can't be conventionally grown in my area due to the short season, but in a self-watering container, they grow fast enough. Why?","T","short"
"148",148,1993,"MAG","NatlReview","  with an elegant presence, rather similar to the persona marked out today by Bobby Short. He flexed his arts in a similar setting, in tony cafes, not","F","short"
"149",149,2016,"FIC","Bk:OnHunt","  toward the nearby town to replenish the food she'd used during her patient's short visit. # Although calling Gilford a town was being extremely generous. # There","T","short"
"150",150,2014,"FIC","FantasySciFi","  the sun began to fade, even at high noon. The Akalaian Peninsula's short, torrid summer was leaving us, and taking the field season with it.","T","short"
"151",151,2017,"FIC","New England Review","  money with simple repetition. He presses angry dudes to a point, but stays short of stupid. # Once for a forty-dollar fare, he went into a second","O","short"
"152",152,2013,"FIC","Bk:TakingEve","  as he stopped beside Doane's car. He was overweight, and even the short run had robbed him of breath. "" No way, man. "" #","B","short"
"153",153,2009,"FIC","Bk:Pen/OHenryPrize","  singular world that is the story. In the end, the art of the short story is sustained by its reader. # -- Laura Furman # Austin, Texas","F","short"
"154",154,2011,"FIC","Bk:KateVaiden","  I'd never understood her pull on others. It was hid all in her short kind good-smelling body, strong as a riptide. Taswell and the coffin were in","S","short"
"155",155,2016,"MAG","Bleacher Report","entered the league (and even before then). # The Panthers fell far short of expectations in Super Bowl 50, and while Newton wasn't the problem,","O","short"
"156",156,2014,"FIC","FantasySciFi","  carrying a visible weapon, and both approached with raised palms. They stopped a short distance away. The sheriff said, "" You have been most cooperative, Brother","S","short"
"157",157,2013,"FIC","SouthwestRev","522 Divya Radhakrishnan was a short dark woman from India. She was in her late twenties with pitch black hair","S","short"
"158",158,1993,"SPOK","ABC_Primetime","  year was not a very good year for his company. Corporate profits fell far short of his own projections. Budget cuts had to be made to the tune of","O","short"
"159",159,2013,"FIC","SewaneeRev","  how to take care of herself. But Suvia was young, blond, and short -- no substitute for the mother Roxanne remembered. Eating dinner that night. Derrick","S","short"
"160",160,1994,"FIC","VirginiaQRev","  our foreman. "" Bathroom, "" I said. # Tooley O'Toole was a short, lazy-looking man with stubby blond hair. His upper arms were wide and fleshy","S","short"
"161",161,2014,"MAG","SportsIll","  exhale. Two steps over, exhale. Two seasons ago those steps were too short, complicating the approach, making his foot drag or his knee bend, throwing","B","short"
"162",162,1995,"FIC","ParisRev","  # My worktable was against a wall. High up on that wall was a short window at ground level. Antenna wires passed through this window and into the backyard","S","short"
"163",163,2017,"MAG","Fortune","4198003 # The short term may see The Weinstein Company sell such assets as the reality series "" Project","T","short"
"164",164,2014,"FIC","NewEnglandRev","  to the department: DMW, Department Meeting Wednesday, meaning drinks after work on short notice. Usually just a glass of wine somewhere, often in the living room","T","short"
"165",165,2008,"FIC","Bk:ThunderEagles","  the short, big-nosed man who seemed to be the leader. Tyree is a short, big-nosed man. // ""' There were three of them,' Cindy","S","short"
"166",166,2012,"MAG","MotherJones","  air, laughing. # As students shuffled out, Roth reminded them, "" A short reflection on this film is due next time. And please! Don' t","T","short"
"167",167,2008,"MAG","MilitaryHist","  and training. On the right the Persians, lightly armored with wicker shields and short spears, played to their strength and from behind a barrier of their shields rained","S","short"
"168",168,2012,"FIC","Bk:NotThisTimeNovel","  like where his mind was going, yet he'd have to be a brick short to ignore the # obvious. "" Professionals knocked out everyone and singled out specific","O","short"
"169",169,1996,"MAG","SkyTelescope","  SOI/MDI, observes sound waves with very high values of I that dive just a short distance below the surface and return quickly. These can not be measured effectively from","S","short"
"170",170,2000,"SPOK","CNN_SunMorn","to get something of a honeymoon period. It's probably going to be very short. Normally, I mean -- historically you would get 100 days or so or","T","short"
"171",171,1993,"MAG","Ebony","  inactivity. To prevent such illnesses, he advises families to begin by "" taking short walks "" together. "" That kind of thing would instill the notion that parents","B","short"
"172",172,2007,"MAG","GoodHousekeeping","n't delay -- in every state, there are deadlines for filing, some as short as 180 days from the date of the last incident. * 1ame changed to","T","short"
"173",173,1995,"MAG","Horticulture","  the end of a year it develops roots and in the second year, a short bud. Not before the third year does a leafy stem appear so that the","S","short"
"174",174,2014,"MAG","Esquire","  the third matador saved the evening. He looked the least like a matador, short and stocky, with a big head and a broad face. His name was","S","short"
"175",175,1990,"SPOK","PBS_Newshour","  or neglected? DR-KRUGMAN: I think the simplest reason to explain in a very short period of time, and it's a very complicated area, is that we","T","short"
"176",176,1996,"MAG","PsychToday","  Tony's little cassette player. Usually I tell him regular on the sides, short on top, keep the back low. But this time something else came out","S","short"
"177",177,2007,"MAG","AmSpect","  the past with success, and can do so again in the future. In short, our present wars are harder to bring to their full completion. The nature","T","short"
"178",178,2008,"FIC","Bk:EveryLastDrop","  I'm thinking how life isn't an easy thing. Nasty, brutish and short, so they say. And how you got to take your pleasures where and","T","short"
"179",179,2001,"FIC","Analog","  is now in the position of a mouse or pigeon? "" "" Life is short, dangerous and ugly, Alren, and then we die. "" "" Yes","T","short"
"180",180,2010,"MAG","Esquire","  . Risotto is a rarity on American menus, made with long-grain rice because Italian short grain, like arborio, is unavailable. Romeo Salta, on West Fifty-sixth Street","S","short"
"181",181,2016,"SPOK","CNN: Dr. Drew","  know, you can get a lot of bullets off in a period -- in short period of time. There were shells on the street, even further that the","T","short"
