,Token_ID,Year,Corpora,Source,Context,,,,,,,,,
80,802,2014,MAG,USAToday,"  In our everyday lives, consumers regularly assume many risks. We drive motor vehicles long distances when air travel is safer because using autos is cheaper and more convenient.",,,,,,,,,B
81,807,2015,SPOK,Fox: Fox Hannity,"  'm doing well. But it's a long process. It's a very long process. I don't want to get overly excited, because you're going",,,,,,,,,T
82,819,2010,FIC,AntiochRev,"  the soft clinking of china and silverware. If he was thinking anything in the long stretches of silence at the table, it was how beautiful she always looked,",,,,,,,,,T
83,821,2017,MAG,Ars Technica,"  , but I do hope the powers that be at Syfy will stick with it long enough for us to get us as far as Babylon's Ashes or Persepolis Rising",,,,,,,,,T
84,825,2011,MAG,USCatholic,"  # Right. We celebrate the Fourth of July, but the Founding Fathers are long gone. Jesus, however, is very much alive, right here, with",,,,,,,,,T
85,855,2008,FIC,Bk:MarriageTrueMinds,"  He unlocked the double steel doors, and she followed him through and down a long white corridor in which only the numbers differentiated one room from another. // """,,,,,,,,,S
86,864,2009,FIC,Bk:Dark,"  # # For an instant, time slowed down the way it does on a long fall, while the buzz of conversation continued around him. He forgot how to",,,,,,,,,B
87,868,2008,MAG,Entertainment,"  's Saul's supplier, in fact), he witnesses a murder. Before long, the two are being pursued by hitmen, cops, and God knows who",,,,,,,,,T
88,878,2016,MAG,Jezebel,"  be mad if Jon Snow (or his ghost) were completely naked all season long. Keep on preaching, Emilia.",,,,,,,,,T
89,901,2012,SPOK,Fox: On The Record: Susteren,"  still three- and-a-half months out... HUME# Well... VAN-SUSTEREN#... and it's a long time, But it's sort of interesting how -- a lot of conservatives are",,,,,,,,,T
90,906,2015,SPOK,CNN: Anderson Cooper,  . But he is a low energy person. Perhaps he sits down all day long with a particular general. But you know what? I can get a lot,,,,,,,,,T
91,907,2011,SPOK,ABC_ThisWeek,"  years to hunt, I think that it shows a lack of sensitivity for a long time of not taking that word off of that rock and renaming the place.",,,,,,,,,T
92,918,2008,MAG,SatEvenPost,"  in order to function in society. However, some become very reclusive. With long sleeves and long pants, many people hide their disease as best they can.",,,,,,,,,S
93,922,2010,SPOK,ABC_ThisWeek,"he was homeless, living on the streets of the Bronx. BOB-WOODRUFF-1-AB# (Off-camera) How long was this your home? JOSE-PAGON-1VETER# For around a month and a half, two",,,,,,,,,T
94,939,2006,MAG,SatEvenPost,"  runs a sawmill near Middlebury, Vermont. He had been using Earthworm machinery SO long he wouldn't consider anything else. When I first met him, about a",,,,,,,,,T
95,948,2009,FIC,AntiochRev,"  sanctuary. The pews are unfinished pine. There is no altar, only a long table with a white tablecloth, behind which are seated two white girls who look",,,,,,,,,S
96,953,2013,SPOK,CBS: Face The Nation,"  I've been in Washington a long time; you've been in Washington a long time -- that a freshman senator, less than a year in office, Ted",,,,,,,,,T
97,977,2016,SPOK,CNN: Dr. Drew,"the structure. Some people actually can change in prison, but it takes a long time. I've known ex-cons who've gone to prison for 14 years and",,,,,,,,,T
98,990,2008,FIC,SportsIll,"  . "" // Jones dropped a ball in the fairway and smacked it with that long, easy swing. This time I could see its flight. It landed on",,,,,,,,,B
99,991,2015,SPOK,NBC: Today Show,"  , you know, had his teeth knocked out before, But that was a long time ago and he's a different man now, absolutely very romantic. HODA-KOTB#",,,,,,,,,T
100,994,2006,FIC,Bk:LastWhite,"  Gunther, ignoring her body's physical responses to the man with the ease of long practice. She didn't have time for relationships, and she certainly had more",,,,,,,,,T
